시점,행정구역(시도)별,행정구역(기초)별,성별,연령별,노인인구수,치매환자수,치매환자유병률,최경도 환자,경도 환자,중등도 환자,중증 환자,알츠하이머 환자수,알츠하이머 환자유병률,혈관성치매 환자수,혈관성치매 환자유병률,기타 환자환자수,기타 환자유병률,경도인지장애 환자수,경도인지장애 환자유병률
2020,서울특별시,노원구,여,70~74세,11387,359.83,3.16,62.61,148.97,92.48,55.77,347.3,3.05,0,0,13.66,0.12,2108.58,18.52
2020,서울특별시,노원구,여,75~79세,9397,1293.03,13.76,224.99,535.31,332.31,200.42,600.47,6.39,78,0.83,613.62,6.53,1960.02,20.86
2020,서울특별시,노원구,여,80~84세,6686,1555.16,23.26,270.6,643.84,399.68,241.05,1407.4,21.05,23.4,0.35,123.69,1.85,3079.45,46.06
2020,서울특별시,노원구,여,85세이상,5367.5,1769.66,32.97,307.92,732.64,454.8,274.3,1518.47,28.29,122.38,2.28,128.28,2.39,1248.01,23.25
2020,서울특별시,노원구,여,60세이상,67711,5138.2,7.59,894.05,2127.21,1320.52,796.42,4011.6,5.92,246.33,0.36,879.26,1.3,13002.46,19.2
2020,서울특별시,노원구,여,65세이상,47208.5,5115.65,10.84,890.12,2117.88,1314.72,792.93,4011.6,8.5,223.78,0.47,879.26,1.86,12102.86,25.64
2020,서울특별시,은평구,전체,60~64세,35505.5,208.31,0.59,36.25,86.24,53.54,32.29,0,0,208.31,0.59,0,0,5108.4,14.39
2020,서울특별시,은평구,전체,65~69세,25714.5,350.87,1.36,61.05,145.26,90.17,54.38,328.66,1.28,0,0,22.2,0.09,4723.8,18.37
2020,서울특별시,은평구,전체,70~74세,21021.5,804.27,3.83,139.94,332.97,206.7,124.66,771.81,3.67,18.67,0.09,14.03,0.07,4509.79,21.45
2020,서울특별시,은평구,전체,75~79세,16630,1956.9,11.77,340.5,810.16,502.92,303.32,812.47,4.89,390.41,2.35,753.08,4.53,2443.38,14.69
2020,서울특별시,은평구,전체,80~84세,10437,2160.98,20.7,376.01,894.65,555.37,334.95,1657.6,15.88,84.94,0.81,417.83,4,5006.25,47.97
2020,서울특별시,은평구,전체,85세이상,6194,2463.09,39.77,428.58,1019.72,633.01,381.78,2151.38,34.73,211.11,3.41,100.18,1.62,1372.76,22.16
2020,서울특별시,은평구,전체,60세이상,115502.5,7944.41,6.88,1382.33,3288.99,2041.71,1231.38,5721.93,4.95,913.43,0.79,1307.32,1.13,23164.39,20.06
2020,서울특별시,은평구,전체,65세이상,79997,7736.1,9.67,1346.08,3202.75,1988.18,1199.1,5721.93,7.15,705.13,0.88,1307.32,1.63,18055.99,22.57
2020,서울특별시,은평구,남,60~64세,16593.5,187.51,1.13,32.63,77.63,48.19,29.06,0,0,187.51,1.13,0,0,4278.58,25.78
2020,서울특별시,은평구,남,65~69세,11686.5,216.2,1.85,37.62,89.51,55.56,33.51,194,1.66,0,0,22.2,0.19,1105.47,9.46
