"자치구별(1)",자치구별(2),2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011
"자치구별(1)",자치구별(2),공원,공원,도시공원,도시공원,도보생활권공원,도보생활권공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원
"자치구별(1)",자치구별(2),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡)
"합계",구로구,3641.45,8.42,3319.70,7.68,1533.35,3.55,3336.10,7.60,3014.40,6.90,1441.80,3.30,3327.70,7.60,3005.90,6.90,1431.10,3.30,3190.60,7.20,2868.70,6.50,1337.90,3.00,3157.00,7.00,2835.10,6.30,1337.90,3.00,3156.40,6.90,2835.10,6.20,1337.30,2.90,3156.20,6.90,2834.90,6.20,1337.10,2.90,3189.40,7.10,2868.00,6.30,1264.80,2.80,3186.90,7.00,2865.40,6.30,1262.40,2.80,3186.90,6.90,2865.40,6.20,1071.40,2.30
"합계",금천구,2774.38,11.19,2610.40,10.53,562.74,2.27,2206.20,8.80,2042.20,8.10,406.20,1.60,2206.20,8.70,2042.20,8.00,406.20,1.60,2206.20,8.70,2042.20,8.10,404.10,1.60,2205.20,8.70,2041.20,8.00,404.10,1.60,2221.10,8.70,2057.10,8.00,400.30,1.60,2189.50,8.50,2030.30,7.90,379.90,1.50,2189.50,8.50,2030.30,7.90,376.20,1.50,2189.50,8.40,2030.30,7.80,376.20,1.40,2189.50,8.30,2030.30,7.70,376.20,1.40
"합계",영등포구,3009.28,7.39,664.47,1.63,2957.42,7.26,3050.40,7.60,705.60,1.80,2975.30,7.40,3091.10,7.70,746.10,1.80,2969.00,7.40,3092.60,7.70,746.10,1.90,2966.00,7.40,3095.10,7.60,748.60,1.80,2964.50,7.30,3065.70,7.30,720.70,1.70,2963.00,7.10,3063.60,7.30,718.60,1.70,2960.80,7.00,3089.70,7.30,744.90,1.80,2957.20,7.00,2193.70,5.10,748.60,1.80,2060.60,4.80,2189.80,5.00,744.70,1.70,2056.70,4.70
"합계",동작구,4328.74,10.78,4092.53,10.19,2311.18,5.76,4584.20,11.20,4390.20,10.70,3128.00,7.60,4585.40,11.20,4391.30,10.70,3128.70,7.60,4585.70,11.20,4391.70,10.80,3123.90,7.70,4585.60,11.10,4391.60,10.60,3123.80,7.60,4594.80,11.10,4402.40,10.70,3130.20,7.60,4594.80,11.00,4402.40,10.50,3130.20,7.50,4630.50,11.00,4439.10,10.50,3127.40,7.40,4630.00,11.10,4438.10,10.70,3117.40,7.50,4567.50,11.00,4378.20,10.60,3089.10,7.50
"합계",관악구,12431.42,24.38,12424.91,24.37,1910.24,3.75,10976.90,21.20,10970.40,21.20,1287.00,2.50,10977.10,21.10,10970.60,21.10,1282.70,2.50,10975.70,21.10,10969.20,21.10,1282.70,2.50,10975.70,20.90,10969.20,20.90,1282.70,2.40,10975.90,20.70,10969.20,20.70,1280.50,2.40,10975.90,20.60,10969.20,20.60,1280.50,2.40,10975.50,20.50,10968.80,20.50,1279.10,2.40,10973.00,20.30,10966.30,20.30,1277.90,2.40,10973.60,20.10,10966.90,20.10,1279.30,2.30
"합계",서초구,15072.56,35.13,14265.72,33.25,2147.80,5.01,16081.00,37.00,15274.20,35.10,2446.80,5.60,16036.30,36.60,15230.50,34.80,2443.80,5.60,15883.20,35.70,15079.80,33.90,2287.00,5.10,15874.50,35.20,15071.10,33.40,2282.00,5.10,15874.50,35.20,15071.10,33.40,2282.00,5.10,15874.50,34.90,15072.30,33.20,2282.00,5.00,15820.50,35.40,15025.60,33.60,2223.40,5.00,15820.50,36.00,15025.60,34.10,2119.80,4.80,15822.50,36.00,15027.50,34.20,2100.20,4.80
"합계",강남구,7768.75,14.28,6479.09,11.91,3628.21,6.67,6594.30,12.00,5304.70,9.60,3566.10,6.50,6591.70,12.00,5302.00,9.70,3565.40,6.50,6591.70,11.80,5302.00,9.50,3565.40,6.40,6598.00,11.50,5308.40,9.30,3571.80,6.20,6422.00,11.00,5132.30,8.80,3362.80,5.80,6207.20,10.60,4916.70,8.40,3199.50,5.50,6207.10,10.90,4916.60,8.60,3016.50,5.30,5920.50,10.40,4897.40,8.60,2666.10,4.70,5671.70,9.90,4648.70,8.10,2416.50,4.20
"합계",송파구,4771.42,7.08,2097.14,3.11,4357.26,6.47,4644.80,6.80,2037.60,3.00,4278.40,6.30,4642.10,6.90,2034.20,3.00,4274.70,6.30,4445.70,6.60,1837.70,2.70,4222.80,6.30,4424.80,6.70,1816.80,2.70,4186.20,6.30,4253.90,6.40,1645.90,2.50,4186.20,6.30,4254.40,6.30,1648.80,2.50,4186.70,6.20,4264.00,6.30,1658.30,2.50,4185.10,6.20,4718.70,6.90,2111.00,3.10,4639.80,6.80,4717.80,6.80,2110.00,3.10,4667.60,6.80
"합계",강동구,3362.41,7.25,2820.18,6.08,2099.86,4.53,3369.80,7.70,2827.50,6.40,2081.50,4.70,3370.00,7.80,2827.70,6.50,1956.60,4.50,3384.60,7.70,2842.40,6.50,1971.20,4.50,3384.60,7.30,2842.40,6.10,1971.20,4.30,3382.70,7.30,2840.40,6.10,1958.40,4.20,3412.90,7.10,2870.60,6.00,1966.20,4.10,3003.30,6.20,2461.10,5.00,1965.50,4.00,2815.20,5.70,2273.00,4.60,1830.80,3.70,2815.20,5.60,2273.00,4.50,1830.80,3.70
"합계",서울대공원,6670.00,-,6670.00,-,-,-,6670.00,-,6670.00,-,-,-,6670.00,-,6670.00,-,-,-,6670.00,-,6670.00,-,-,-,6670.00,-,6670.00,-,-,-,6670.00,-,6670.00,-,-,-,6670.00,-,6670.00,-,-,-,9132.80,-,9132.80,-,-,-,9132.80,-,9132.80,-,-,-,9132.80,-,9132.80,-,-
