특성별(1),특성별(2),국가안보(전쟁 가능성 북핵 등)(매우 불안하다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(불안한 편이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(보통이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(안전한 편이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(매우 안전하다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(5점 평균 (점)),자연재해(태풍 지진 등)(매우 불안하다 (퍼센트)),자연재해(태풍 지진 등)(불안한 편이다 (퍼센트)),자연재해(태풍 지진 등)(보통이다 (퍼센트)),자연재해(태풍 지진 등)(안전한 편이다 (퍼센트)),자연재해(태풍 지진 등)(매우 안전하다 (퍼센트)),자연재해(태풍 지진 등)(5점 평균 (점)),건축물 및 시설물(주택 교량 등)(매우 불안하다 (퍼센트)),건축물 및 시설물(주택 교량 등)(불안한 편이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(보통이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(안전한 편이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(매우 안전하다 (퍼센트)),건축물 및 시설물(주택 교량 등)(5점 평균 (점)),교통사고(매우 불안하다 (퍼센트)),교통사고(불안한 편이다 (퍼센트)),교통사고(보통이다 (퍼센트)),교통사고(안전한 편이다 (퍼센트)),교통사고(매우 안전하다 (퍼센트)),교통사고(5점 평균 (점)),화재(산불 포함)(매우 불안하다 (퍼센트)),화재(산불 포함)(불안한 편이다 (퍼센트)),화재(산불 포함)(보통이다 (퍼센트)),화재(산불 포함)(안전한 편이다 (퍼센트)),화재(산불 포함)(매우 안전하다 (퍼센트)),화재(산불 포함)(5점 평균 (점)),먹거리(불량식품 식중독)(매우 불안하다 (퍼센트)),먹거리(불량식품 식중독)(불안한 편이다 (퍼센트)),먹거리(불량식품 식중독)(보통이다 (퍼센트)),먹거리(불량식품 식중독)(안전한 편이다 (퍼센트)),먹거리(불량식품 식중독)(매우 안전하다 (퍼센트)),먹거리(불량식품 식중독)(5점 평균 (점)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(매우 불안하다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(불안한 편이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(보통이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(안전한 편이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(매우 안전하다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(5점 평균 (점)),전염병(신종 바이러스 등)(매우 불안하다 (퍼센트)),전염병(신종 바이러스 등)(불안한 편이다 (퍼센트)),전염병(신종 바이러스 등)(보통이다 (퍼센트)),전염병(신종 바이러스 등)(안전한 편이다 (퍼센트)),전염병(신종 바이러스 등)(매우 안전하다 (퍼센트)),전염병(신종 바이러스 등)(5점 평균 (점)),범죄 위험(매우 불안하다 (퍼센트)),범죄 위험(불안한 편이다 (퍼센트)),범죄 위험(보통이다 (퍼센트)),범죄 위험(안전한 편이다 (퍼센트)),범죄 위험(매우 안전하다 (퍼센트)),범죄 위험(5점 평균 (점)),환경 오염(대기 수질 토양 등)(매우 불안하다 (퍼센트)),환경 오염(대기 수질 토양 등)(불안한 편이다 (퍼센트)),환경 오염(대기 수질 토양 등)(보통이다 (퍼센트)),환경 오염(대기 수질 토양 등)(안전한 편이다 (퍼센트)),환경 오염(대기 수질 토양 등)(매우 안전하다 (퍼센트)),환경 오염(대기 수질 토양 등)(5점 평균 (점))
성별,남자,2,15.3,46.8,32.5,3.4,3.2,0.7,9.7,48.1,36.8,4.7,3.3,0.8,8,52.3,33.9,5,3.3,1.6,17.9,51,25.4,4.1,3.1,0.7,8.5,55,30.3,5.5,3.3,1.4,8.9,56,28.7,4.9,3.3,2.9,13.3,53.7,26.1,4,3.1,8.3,27.7,40.4,20,3.5,2.8,9,30.8,36.3,20,3.9,2.8,8.1,29.2,40.1,19,3.7,2.8
성별,여자,1.8,16.4,48.9,29.5,3.5,3.2,0.8,9.9,51,33.2,5.1,3.3,0.9,8.2,55,30.5,5.4,3.3,2.2,17.6,52.6,22.7,4.9,3.1,0.7,8.3,56.1,28.8,6.1,3.3,1.6,9.1,57.8,26.4,5.1,3.2,3.1,13.6,54.6,24,4.7,3.1,9.1,28,41.3,17.6,3.9,2.8,10.9,30.3,36.9,17.4,4.5,2.7,8.1,29.4,41,17.4,4.2,2.8
연령별,13 ~ 19세,2.1,13.3,52.3,28.7,3.6,3.2,0.7,8.6,53.9,31.3,5.5,3.3,1.3,6.6,55.8,31.5,4.8,3.3,2.4,15.2,54.7,24.1,3.6,3.1,0.1,7.9,56.6,29.5,5.9,3.3,1.2,9.1,56.5,26.5,6.7,3.3,2.7,12.9,56,23.9,4.6,3.1,7,24.2,46.8,18.4,3.5,2.9,9.9,25.4,41.5,20.4,2.8,2.8,8.2,25.5,45.6,17.1,3.6,2.8
연령별,20 ~ 29세,1.5,17.7,48.4,29.3,3.1,3.1,0.8,10.5,50.2,33.8,4.7,3.3,0.7,9.4,54.3,30.1,5.5,3.3,2.9,17.8,52.3,23.2,3.9,3.1,0.7,8.2,54.2,31.3,5.7,3.3,1.6,8.4,57.7,27.2,5,3.3,3,12.4,54.5,26.2,3.9,3.2,8.1,29.2,39.7,19.6,3.3,2.8,11.2,31.4,34.7,18.7,4,2.7,8.1,29.6,40.3,18.9,3.2,2.8
연령별,30 ~ 39세,2.2,19.1,46.4,29.1,3.1,3.1,1.2,10.6,48.8,34.9,4.6,3.3,1.2,9.9,52.8,31.2,4.9,3.3,2.9,20.3,51,21.4,4.4,3,0.8,8.8,56.9,27.6,5.9,3.3,1.5,11.1,55.9,27.3,4.2,3.2,3.3,13.7,54.3,24.6,4.1,3.1,10.4,28.9,40.6,16.9,3.2,2.7,12.3,32.3,34.7,16.9,3.8,2.7,9,31.2,39.6,17.2,3.1,2.7
연령별,40 ~ 49세,1.7,16,50.1,28.7,3.5,3.2,0.6,10.6,50.7,33.5,4.5,3.3,0.8,8.4,55.3,31.3,4.2,3.3,1.9,19.9,52.7,21.8,3.7,3.1,0.6,9.1,57.2,28,5,3.3,1.2,10.8,58,25.6,4.4,3.2,2.4,14.6,55.1,23.8,4.1,3.1,8.5,30,41.1,17.1,3.3,2.8,10.5,32.4,37.4,16.2,3.5,2.7,9.6,31.9,40.3,15.1,3.1,2.7
연령별,50 ~ 59세,2.1,16.6,46,32.1,3.2,3.2,1.1,9.9,48.9,35.6,4.5,3.3,1,7.6,53.3,32.8,5.3,3.3,1.5,17.2,52.1,24.5,4.7,3.1,0.9,8.6,56,29.1,5.5,3.3,1.5,8.5,57.7,27.4,4.8,3.3,2.8,13.9,54.1,25,4.1,3.1,9.3,26.6,41.2,18.9,4,2.8,9.3,30.5,36.9,19,4.3,2.8,7.7,30.2,40.1,18.2,3.9,2.8
연령별,60세 이상,1.7,12.9,46.9,34.6,3.9,3.3,0.4,8.5,48.1,37.5,5.5,3.4,0.5,6.9,52.2,34.5,6,3.4,0.8,16,50.4,27.3,5.6,3.2,0.8,7.8,53.6,31.1,6.7,3.4,1.8,7.1,55.8,29.7,5.5,3.3,3.5,12.8,52.7,25.9,5.1,3.2,8.2,26.8,39.6,20.9,4.4,2.9,7.8,29.2,36.8,20.8,5.4,2.9,6.7,26.4,40.4,20.9,5.6,2.9
학력별,초졸이하,1.8,11.5,48.8,33,4.8,3.3,0.4,7.7,49.2,37.1,5.7,3.4,0.5,5.9,54,34.1,5.6,3.4,0.7,15.6,51.5,27.7,4.6,3.2,0.4,6.2,55,32.4,6,3.4,1.2,7.3,56.5,29.3,5.7,3.3,2.3,12.2,53.8,26.6,5,3.2,6.3,25.4,42.9,21.1,4.3,2.9,6.4,26.7,40.2,22.1,4.6,2.9,5.7,24,44.3,20.6,5.4,3
학력별,중졸,1,13.6,50.7,31,3.7,3.2,0.7,9.5,52.2,32.5,5.1,3.3,0.8,7.2,53.2,33.7,5.2,3.4,1.3,15.5,52.4,26.3,4.5,3.2,0.8,9.3,54.6,29.4,5.9,3.3,2.3,9.4,55.9,26.4,6,3.2,3.8,12.9,55.1,23.5,4.6,3.1,9.3,25.9,42.7,18.3,3.8,2.8,9.7,28,39.2,18.6,4.5,2.8,8.1,26.4,43,17.1,5.3,2.9
